bitmask,features,k,accuracy,scores,timestamp
24,"Index(['homogeneity_0', 'homogeneity_1', 'homogeneity_2', 'homogeneity_3',
       'contrast_0', 'contrast_1', 'contrast_2', 'contrast_3'],
      dtype='object')",62,0.7273389682308365,[0.69148936 0.70471842 0.73515982 0.73668189 0.76864536],2024-05-29 01:52:38.837217
25,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'homogeneity_0', 'homogeneity_1',
       'homogeneity_2', 'homogeneity_3', 'contrast_0', 'contrast_1',
       'contrast_2', 'contrast_3'],
      dtype='object')",73,0.7282503596989169,[0.69756839 0.7108067  0.73972603 0.7412481  0.75190259],2024-05-29 01:55:39.070272
26,"Index(['correlation_0', 'correlation_1', 'correlation_2', 'correlation_3',
       'homogeneity_0', 'homogeneity_1', 'homogeneity_2', 'homogeneity_3',
       'contrast_0', 'contrast_1', 'contrast_2', 'contrast_3'],
      dtype='object')",48,0.7279487215074507,[0.68844985 0.70776256 0.72907154 0.7412481  0.77321157],2024-05-29 01:58:46.357929
27,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'correlation_0', 'correlation_1',
       'correlation_2', 'correlation_3', 'homogeneity_0', 'homogeneity_1',
       'homogeneity_2', 'homogeneity_3', 'contrast_0', 'contrast_1',
       'contrast_2', 'contrast_3'],
      dtype='object')",46,0.7300759184466558,[0.7006079  0.71689498 0.73972603 0.73972603 0.75342466],2024-05-29 02:01:03.161385
28,"Index(['dissimilarity_0', 'dissimilarity_1', 'dissimilarity_2',
       'dissimilarity_3', 'homogeneity_0', 'homogeneity_1', 'homogeneity_2',
       'homogeneity_3', 'contrast_0', 'contrast_1', 'contrast_2',
       'contrast_3'],
      dtype='object')",63,0.7242943655651322,[0.69300912 0.7108067  0.73211568 0.72146119 0.76407915],2024-05-29 02:04:00.179501
29,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'dissimilarity_0',
       'dissimilarity_1', 'dissimilarity_2', 'dissimilarity_3',
       'homogeneity_0', 'homogeneity_1', 'homogeneity_2', 'homogeneity_3',
       'contrast_0', 'contrast_1', 'contrast_2', 'contrast_3'],
      dtype='object')",27,0.7270377926746332,[0.68085106 0.71689498 0.75342466 0.7412481  0.74277017],2024-05-29 02:06:17.238964
30,"Index(['correlation_0', 'correlation_1', 'correlation_2', 'correlation_3',
       'dissimilarity_0', 'dissimilarity_1', 'dissimilarity_2',
       'dissimilarity_3', 'homogeneity_0', 'homogeneity_1', 'homogeneity_2',
       'homogeneity_3', 'contrast_0', 'contrast_1', 'contrast_2',
       'contrast_3'],
      dtype='object')",45,0.7294717167931974,[0.68541033 0.71537291 0.73515982 0.73820396 0.77321157],2024-05-29 02:08:35.048212
31,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'correlation_0', 'correlation_1',
       'correlation_2', 'correlation_3', 'dissimilarity_0', 'dissimilarity_1',
       'dissimilarity_2', 'dissimilarity_3', 'homogeneity_0', 'homogeneity_1',
       'homogeneity_2', 'homogeneity_3', 'contrast_0', 'contrast_1',
       'contrast_2', 'contrast_3'],
      dtype='object')",38,0.7300768437171818,[0.69756839 0.72298326 0.7412481  0.73668189 0.75190259],2024-05-29 02:10:54.479745
33,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'entropy'], dtype='object')",58,0.7297775187020307,[0.68085106 0.73211568 0.73820396 0.74733638 0.75038052],2024-05-29 02:13:30.575372
34,"Index(['correlation_0', 'correlation_1', 'correlation_2', 'correlation_3',
       'entropy'],
      dtype='object')",69,0.7264331283859118,[0.66717325 0.71993912 0.74429224 0.73972603 0.76103501],2024-05-29 02:16:08.184068
35,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'correlation_0', 'correlation_1',
       'correlation_2', 'correlation_3', 'entropy'],
      dtype='object')",70,0.7273431319482032,[0.67781155 0.72450533 0.74581431 0.73820396 0.75038052],2024-05-29 02:19:04.746058
36,"Index(['dissimilarity_0', 'dissimilarity_1', 'dissimilarity_2',
       'dissimilarity_3', 'entropy'],
      dtype='object')",97,0.7282568365925987,[0.67629179 0.73363775 0.75494673 0.73668189 0.73972603],2024-05-29 02:21:47.021090
37,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'dissimilarity_0',
       'dissimilarity_1', 'dissimilarity_2', 'dissimilarity_3', 'entropy'],
      dtype='object')",81,0.7303844961670669,[0.68693009 0.73515982 0.74733638 0.73515982 0.74733638],2024-05-29 02:24:41.590868
38,"Index(['correlation_0', 'correlation_1', 'correlation_2', 'correlation_3',
       'dissimilarity_0', 'dissimilarity_1', 'dissimilarity_2',
       'dissimilarity_3', 'entropy'],
      dtype='object')",185,0.7264285020332819,[0.68237082 0.70776256 0.7412481  0.75190259 0.74885845],2024-05-29 02:27:40.170372
39,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'correlation_0', 'correlation_1',
       'correlation_2', 'correlation_3', 'dissimilarity_0', 'dissimilarity_1',
       'dissimilarity_2', 'dissimilarity_3', 'entropy'],
      dtype='object')",88,0.7270373300393702,[0.68237082 0.72298326 0.7412481  0.73668189 0.75190259],2024-05-29 02:30:55.063817
40,"Index(['homogeneity_0', 'homogeneity_1', 'homogeneity_2', 'homogeneity_3',
       'entropy'],
      dtype='object')",87,0.7294712541579343,[0.68693009 0.73363775 0.73972603 0.74277017 0.74429224],2024-05-29 02:33:33.745249
41,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'homogeneity_0', 'homogeneity_1',
       'homogeneity_2', 'homogeneity_3', 'entropy'],
      dtype='object')",105,0.7300786942582337,[0.69148936 0.73059361 0.73972603 0.74429224 0.74429224],2024-05-29 02:36:29.571465
42,"Index(['correlation_0', 'correlation_1', 'correlation_2', 'correlation_3',
       'homogeneity_0', 'homogeneity_1', 'homogeneity_2', 'homogeneity_3',
       'entropy'],
      dtype='object')",192,0.7285598626898538,[0.68085106 0.71385084 0.74429224 0.75494673 0.74885845],2024-05-29 02:39:28.843224
43,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'correlation_0', 'correlation_1',
       'correlation_2', 'correlation_3', 'homogeneity_0', 'homogeneity_1',
       'homogeneity_2', 'homogeneity_3', 'entropy'],
      dtype='object')",186,0.7297765934315045,[0.68389058 0.71993912 0.74429224 0.75190259 0.74885845],2024-05-29 02:42:45.974620
44,"Index(['dissimilarity_0', 'dissimilarity_1', 'dissimilarity_2',
       'dissimilarity_3', 'homogeneity_0', 'homogeneity_1', 'homogeneity_2',
       'homogeneity_3', 'entropy'],
      dtype='object')",100,0.7270368674041071,[0.68389058 0.72450533 0.73972603 0.73820396 0.74885845],2024-05-29 02:45:46.732719
45,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'dissimilarity_0',
       'dissimilarity_1', 'dissimilarity_2', 'dissimilarity_3',
       'homogeneity_0', 'homogeneity_1', 'homogeneity_2', 'homogeneity_3',
       'entropy'],
      dtype='object')",81,0.728557549513539,[0.68844985 0.7260274  0.73820396 0.7412481  0.74885845],2024-05-29 02:49:01.012801
46,"Index(['correlation_0', 'correlation_1', 'correlation_2', 'correlation_3',
       'dissimilarity_0', 'dissimilarity_1', 'dissimilarity_2',
       'dissimilarity_3', 'homogeneity_0', 'homogeneity_1', 'homogeneity_2',
       'homogeneity_3', 'entropy'],
      dtype='object')",199,0.7276456954101954,[0.68389058 0.71689498 0.73820396 0.75038052 0.74885845],2024-05-29 02:52:20.861574
47,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'correlation_0', 'correlation_1',
       'correlation_2', 'correlation_3', 'dissimilarity_0', 'dissimilarity_1',
       'dissimilarity_2', 'dissimilarity_3', 'homogeneity_0', 'homogeneity_1',
       'homogeneity_2', 'homogeneity_3', 'entropy'],
      dtype='object')",197,0.7270373300393702,[0.68237082 0.71232877 0.7412481  0.75190259 0.74733638],2024-05-29 02:54:40.683666
48,"Index(['contrast_0', 'contrast_1', 'contrast_2', 'contrast_3', 'entropy'], dtype='object')",81,0.7258196740271938,[0.68237082 0.71993912 0.74733638 0.73363775 0.74581431],2024-05-29 02:57:22.600916
49,"Index(['ASM_0', 'ASM_1', 'ASM_2', 'ASM_3', 'contrast_0', 'contrast_1',
       'contrast_2', 'contrast_3', 'entropy'],
      dtype='object')",69,0.7270354794983184,[0.68844985 0.72450533 0.74733638 0.72907154 0.74581431],2024-05-29 03:00:18.265381
50,"Index(['correlation_0', 'correlation_1', 'correlation_2', 'correlation_3',
       'contrast_0', 'contrast_1', 'contrast_2', 'contrast_3', 'entropy'],
      dtype='object')",75,0.7261264012065528,[0.67477204 0.71232877 0.74885845 0.73668189 0.75799087],2024-05-29 03:03:15.896492
