ASM_0,correlation_0,dissimilarity_0,homogeneity_0,contrast_0,ASM_1,correlation_1,dissimilarity_1,homogeneity_1,contrast_1,ASM_2,correlation_2,dissimilarity_2,homogeneity_2,contrast_2,ASM_3,correlation_3,dissimilarity_3,homogeneity_3,contrast_3,entropy,density
8.071673364686792e-05,0.9237210499622499,17.34366521187844,0.11683323100978968,557.1908455701116,5.625090392506799e-05,0.8787937607076649,22.14467188064949,0.08274893889635127,885.0969217558156,8.039589213992149e-05,0.9164078365476721,18.12675703566975,0.11893685259817934,611.0561144196837,5.585127148589894e-05,0.8752714303178536,22.485597699764263,0.08317838487066191,910.8178836452389,7.887350313592295,3
0.00030024210316718106,0.9826610491500088,7.023267517900478,0.2980272322475017,111.90329750206966,0.00015797813984117263,0.9618908299858542,10.779372490592886,0.19779185707448455,245.82713896111935,0.00026617443460117557,0.9722711450957401,8.989637539782525,0.2611835828273492,178.9801339696834,0.00016541235711017296,0.9625480318561004,10.651669907324768,0.20450479062074303,241.58778818715186,7.823362721500162,3
0.00011180427832801668,0.9218617486979981,17.68438591135972,0.16300998928148144,650.9523099951092,7.367649437240651e-05,0.8720975960660432,23.01096087587532,0.12233218665061989,1065.2529320316257,0.00011075951000309484,0.9069496251387216,19.262244821454953,0.15765185517956667,775.1320368228852,7.151187284172874e-05,0.8688469028688729,23.282597964352743,0.11994756517320443,1092.3267817240735,7.940907856569649,2
0.00010128684390121335,0.9387482180620024,16.23106278083996,0.14373987606273653,503.33681456801196,6.643640321466244e-05,0.9036271320651708,20.697020432349984,0.1047900339368048,791.6618084483596,9.224195078980137e-05,0.928987288389054,17.504051888088615,0.13457976753159687,583.4542012048569,6.471821983039297e-05,0.9008409389982969,21.023574403909652,0.10208216847741744,814.5485592423503,7.93597960664938,3
0.00012513657470290652,0.9393275696683001,16.453484290400556,0.1673974120851398,523.0801656127143,7.469128832398405e-05,0.900659791823759,21.432532745436344,0.11839882756169783,856.1855887703721,0.0001143332933580304,0.9330153095291798,17.325502799302964,0.15829985748275063,577.5300543198729,7.625744527052535e-05,0.8989601270893092,21.60789322041538,0.12019765864330727,870.834739137147,7.952798341702656,2
0.0004133809744209755,0.9602289463584768,13.278587620162352,0.3302224772004148,378.3546047795863,0.0001835349121554596,0.90904847017621,21.10293309328043,0.21158939423562753,865.1989650796882,0.0002674679315279113,0.9321977213649617,17.922188848539932,0.25566903412034453,645.0838100452906,0.00018373053128201825,0.9107827814191609,20.90052246531731,0.21230625497793393,848.7008102526087,7.973569809974997,2
0.00012313916061002772,0.9547785324877753,14.33850921940832,0.16428778738599356,397.1708770193638,7.712401957546644e-05,0.9260802978367038,18.64400614937818,0.11730366197182479,649.021511617489,0.00010759477721665749,0.9470104499424763,15.566259590021094,0.1501560113386566,465.3418531299804,7.578141148312855e-05,0.9234743140028747,18.976960002151785,0.11552424243036953,671.9024861952788,7.9573947693664575,2
0.0001520759695213644,0.9765066838732506,10.062379909189872,0.19593968364987033,195.61232850726032,8.482112718180356e-05,0.9510711766535985,14.863650009801955,0.12222625603830295,407.44617868342925,0.00012587931876817938,0.9656371409324611,12.298362175525412,0.17058851051663446,286.3433358014326,8.38288739186141e-05,0.9495029042479062,15.095019789725374,0.12252073597936258,420.5057577075374,7.939977288453131,3
0.00021446936073224904,0.9832443347460765,7.899178603626175,0.2455576934825568,129.85880663794902,0.00011406837056361298,0.9596563177486322,12.517821897971869,0.15708923590931573,312.51117453775106,0.000161479114939607,0.9689999202812518,10.796824045321486,0.197673817805336,240.2795480093929,0.0001092627629127994,0.959419991864063,12.598758632210838,0.15009629618301887,314.3418795945523,7.908434578183741,4
8.190058325941014e-05,0.888533328968557,19.68756123814846,0.12069365589256069,769.3005683360202,5.6816943218767976e-05,0.8183078417761653,25.60148464697724,0.08687970176348107,1253.918692092152,9.68956904914992e-05,0.8700944247330651,21.202545896986084,0.14123452744487058,897.6101079171449,5.6448009254008935e-05,0.810032036282963,26.12767549595205,0.08979543077525785,1311.0331720051913,7.853974784736207,3
0.00012312119732672401,0.9202591232221996,17.78438311068245,0.18056541340460808,658.5611290413592,7.613321437350313e-05,0.8696117744069364,23.300377603414045,0.13026438555064374,1076.4496382102043,0.00012460083365787954,0.9114929374686217,18.827616268285652,0.17861741280708765,731.1601320929365,7.326326037183319e-05,0.8683092874898799,23.420107863115806,0.1265291250906036,1087.2024386084438,7.93666102346861,2
0.0001324920395999954,0.9380854630107731,15.022731773690804,0.1882746554916948,466.3859089331095,8.288848713361973e-05,0.8985711765175072,19.74996151496029,0.13406245146810197,763.4320750668978,0.00013399050131641195,0.930917387372342,15.958817663518442,0.18935103401653383,520.8449083296703,7.851686451587621e-05,0.8947214005406887,20.137381104546556,0.126725949898041,792.4086096871042,7.898311130317786,3
0.00019934634625746894,0.9813263470742769,7.965726911282258,0.23601149476456731,134.91398465868056,0.00010216939444270942,0.9493284795483834,13.233893050790577,0.1405669898289174,365.98699113942683,0.0001465850912133545,0.9591755830450247,11.55352874648619,0.18933888288487,294.95774922493143,0.00010672406314395362,0.9503554658766367,13.075891826854251,0.1492373285670429,358.56929501789955,7.882338405967714,3
0.00027969509281617667,0.9813313621109097,8.133097673328786,0.2832827073140726,140.0209396470906,0.00013820385688784607,0.9633099768588742,11.807761328126206,0.18296387404958123,275.07579726564114,0.00022648892866279733,0.975625801103406,9.46489186445934,0.2480705286965311,182.8501612273523,0.00014540292037966998,0.9636058255588013,11.762146093751179,0.1903118644209419,272.8577757812634,7.89882254765205,4
